ticker,tradedate,orhv10d,orhv20d,orhv60d,orhv120d,orhv252d
EWY,2020-04-06,60.33,77.35,48.22,35.31,26.5
EWY,2020-04-03,61.81,77.22,48.14,35.26,26.45
EWY,2020-04-02,61.59,76.6,47.7,34.98,26.28
EWY,2020-04-01,66.43,75.37,46.81,34.37,25.89
EWY,2020-03-31,70.98,75.46,46.8,34.32,25.88
EWY,2020-03-30,89.84,75.54,46.66,34.22,25.82
EWY,2020-03-27,91.28,74.54,45.97,33.77,25.53
EWY,2020-03-26,96.87,73.81,45.46,33.43,25.31
EWW,2020-04-20,43.63,62.44,58.68,43.02,33.06
EWW,2020-04-17,44.38,62.87,58.41,42.82,32.96
EWW,2020-04-16,48.65,67.63,58.4,42.79,32.95
EWW,2020-04-15,47.53,69.71,57.99,42.46,32.74
EWW,2020-04-14,47.63,81.71,57.94,42.4,32.71
EWW,2020-04-13,54.21,82.57,57.81,42.31,32.65
EWW,2020-04-09,58.06,86.08,57.68,42.21,32.59
EWW,2020-04-08,67.79,86.91,57.53,42.11,32.52
EWW,2020-04-07,69.77,87.42,57.34,41.97,32.47
EWW,2020-04-06,73.8,90.87,56.84,41.62,32.31
EWW,2020-04-03,76.77,90.22,56.3,41.25,32.1
EWW,2020-04-02,77.04,90.21,55.94,41.05,31.95
EWW,2020-04-01,82.35,89.15,55.3,40.62,31.71
EWW,2020-03-31,86.37,88.84,54.97,40.41,31.61
EWW,2020-03-30,105.27,89.3,55.03,40.36,31.56
EWW,2020-03-27,103.42,88.25,53.86,39.71,31.09
EWW,2020-03-26,107.0,87.24,53.16,39.18,30.75
EWU,2020-04-20,32.7,49.82,47.97,34.45,25.09
EWU,2020-04-17,32.97,51.2,47.75,34.31,24.99
EWU,2020-04-16,37.27,56.01,47.74,34.3,24.98
EWU,2020-04-15,35.79,57.46,47.43,34.09,24.83
EWU,2020-04-14,36.37,64.66,47.36,34.04,24.8
EWU,2020-04-13,39.99,66.75,47.27,33.98,24.77
EWU,2020-04-09,45.07,70.77,47.01,33.81,24.65
EWU,2020-04-08,49.13,72.27,46.88,33.72,24.59
EWU,2020-04-07,59.93,72.91,46.74,33.67,24.52
EWU,2020-04-06,59.79,75.83,46.37,33.42,24.35
EWU,2020-04-03,62.41,75.6,46.15,33.36,24.25
EWU,2020-04-02,64.47,75.46,45.9,33.23,24.14
EWU,2020-04-01,69.89,75.05,45.33,32.83,23.88
EWU,2020-03-31,72.95,75.26,45.22,32.76,23.83
EWU,2020-03-30,83.89,75.17,45.07,32.66,23.76
EWU,2020-03-27,85.52,74.44,44.49,32.26,23.5
EWU,2020-03-26,89.36,73.16,43.4,31.52,23.01
EWP,2020-04-20,27.81,42.47,50.17,36.0,26.21
EWP,2020-04-17,28.56,42.74,50.03,35.91,26.16
EWP,2020-04-16,31.76,47.45,49.98,35.87,26.12
EWP,2020-04-15,32.62,51.66,49.76,35.72,26.02
EWP,2020-04-14,33.11,61.31,49.73,35.69,26.01
EWP,2020-04-13,38.26,66.01,49.7,35.66,25.99
EWP,2020-04-09,41.58,76.13,49.6,35.61,25.95
EWP,2020-04-08,46.11,77.08,49.56,35.58,25.92
EWP,2020-04-07,51.7,77.43,49.36,35.46,25.83
EWP,2020-04-06,50.55,80.03,49.01,35.23,25.67
EWP,2020-04-03,53.24,80.14,48.97,35.24,25.65
EWP,2020-04-02,53.27,80.43,48.79,35.12,25.57
EWP,2020-04-01,59.11,80.24,48.39,34.85,25.39
EWP,2020-03-31,65.38,80.19,48.1,34.64,25.26
EWP,2020-03-30,80.14,80.37,48.03,34.57,25.22
EWP,2020-03-27,85.15,79.43,47.35,34.11,24.92
EWP,2020-03-26,99.32,78.82,46.79,33.72,24.68
EWM,2020-04-20,27.92,37.99,41.39,29.95,21.91
EWM,2020-04-17,28.01,39.4,41.3,29.89,21.87
EWM,2020-04-16,32.09,45.1,41.33,29.88,21.87
EWM,2020-04-15,33.59,48.87,41.27,29.83,21.84
EWM,2020-04-14,34.0,55.45,41.18,29.77,21.8
EWM,2020-04-13,37.36,58.39,41.13,29.73,21.81
EWM,2020-04-09,42.03,64.85,41.1,29.69,21.79
EWM,2020-04-08,43.48,64.94,41.06,29.65,21.76
EWM,2020-04-07,45.09,65.24,40.88,29.53,21.68
EWM,2020-04-06,43.23,66.11,40.42,29.21,21.49
EWM,2020-04-03,45.9,65.38,39.98,28.9,21.28
EWM,2020-04-02,48.17,65.43,39.87,28.84,21.25
EWM,2020-04-01,55.12,64.55,39.35,28.48,21.02
EWM,2020-03-31,60.4,64.23,39.09,28.29,20.89
EWM,2020-03-30,70.67,64.27,38.98,28.18,20.82
EWM,2020-03-27,73.64,63.57,38.41,27.79,20.57
EWM,2020-03-26,81.52,62.04,37.55,27.2,20.19
EWL,2020-04-20,22.81,38.02,42.05,30.06,21.93
EWL,2020-04-17,22.88,40.05,41.91,29.96,21.86
EWL,2020-04-16,24.23,41.83,41.86,29.93,21.84
EWL,2020-04-15,23.53,44.14,41.73,29.83,21.77
EWL,2020-04-14,25.36,52.54,41.62,29.75,21.72
EWL,2020-04-13,27.87,56.87,41.56,29.71,21.69
EWL,2020-04-09,33.08,62.73,41.52,29.68,21.67
EWL,2020-04-08,37.85,64.08,41.45,29.62,21.64
EWL,2020-04-07,43.53,64.89,41.34,29.55,21.58
EWL,2020-04-06,44.99,66.72,41.15,29.42,21.5
EWL,2020-04-03,48.69,66.75,41.09,29.39,21.47
EWL,2020-04-02,51.81,66.87,40.94,29.29,21.4
EWL,2020-04-01,53.97,67.26,40.77,29.17,21.32
EWL,2020-03-31,57.81,67.54,40.71,29.13,21.29
EWL,2020-03-30,69.84,67.29,40.43,28.92,21.15
EWL,2020-03-27,75.44,66.84,40.1,28.7,21.0
EWL,2020-03-26,82.31,66.01,39.4,28.22,20.68
EWJ,2020-04-20,27.12,33.77,34.3,24.71,18.56
EWJ,2020-04-17,27.51,34.55,34.24,24.66,18.53
EWJ,2020-04-16,31.42,35.91,34.21,24.64,18.52
EWJ,2020-04-15,32.92,38.29,34.17,24.62,18.5
EWJ,2020-04-14,32.93,43.01,34.08,24.56,18.46
EWJ,2020-04-13,33.26,45.32,34.04,24.54,18.44
EWJ,2020-04-09,35.12,51.75,33.96,24.49,18.41
EWJ,2020-04-08,37.83,52.4,33.93,24.45,18.39
EWJ,2020-04-07,41.37,52.48,33.56,24.23,18.22
EWJ,2020-04-06,37.98,52.4,32.71,23.64,17.85
EWJ,2020-04-03,39.32,52.2,32.57,23.57,17.78
EWJ,2020-04-02,40.38,52.14,32.44,23.48,17.73
EWJ,2020-04-01,39.91,51.27,31.81,23.06,17.46
EWJ,2020-03-31,42.99,51.16,31.56,22.86,17.34
EWJ,2020-03-30,51.15,51.28,31.49,22.81,17.3
EWJ,2020-03-27,54.79,51.36,31.39,22.77,17.26
EWJ,2020-03-26,64.2,51.37,31.01,22.5,17.09
EWI,2020-04-20,37.92,43.16,53.03,38.05,27.92
EWI,2020-04-17,38.63,43.15,52.91,37.97,27.87
EWI,2020-04-16,41.1,44.26,52.89,37.93,27.84
EWI,2020-04-15,37.81,44.35,52.41,37.6,27.62
EWI,2020-04-14,37.99,55.47,52.35,37.54,27.59
EWI,2020-04-13,39.85,62.96,52.23,37.46,27.54
EWI,2020-04-09,42.38,77.62,52.09,37.37,27.48
EWI,2020-04-08,46.8,78.56,52.03,37.33,27.45
EWI,2020-04-07,50.88,78.8,51.83,37.21,27.36
EWI,2020-04-06,48.59,83.31,51.22,36.77,27.08
EWI,2020-04-03,47.83,82.77,50.85,36.55,26.91
EWI,2020-04-02,47.23,82.85,50.64,36.43,26.82
EWI,2020-04-01,47.21,82.6,50.25,36.17,26.65
EWI,2020-03-31,50.05,83.12,50.21,36.13,26.62
EWI,2020-03-30,68.63,83.17,50.13,36.06,26.58
EWI,2020-03-27,79.62,82.75,49.77,35.81,26.42
EWI,2020-03-26,101.26,82.18,49.3,35.48,26.2
EWH,2020-04-20,22.27,32.3,33.96,25.51,20.62
EWH,2020-04-17,24.47,33.73,33.85,25.43,20.57
EWH,2020-04-16,27.45,35.87,34.2,25.41,20.56
EWH,2020-04-15,27.43,39.4,34.13,25.36,20.54
EWH,2020-04-14,27.55,45.69,34.01,25.29,20.49
EWH,2020-04-13,31.75,48.66,33.99,25.28,20.5
EWH,2020-04-09,35.01,52.05,33.97,25.27,20.49
EWH,2020-04-08,36.35,52.41,34.02,25.26,20.47
EWH,2020-04-07,39.48,52.8,33.92,25.19,20.44
EWH,2020-04-06,38.5,52.98,33.39,24.81,20.22
EWH,2020-04-03,39.89,52.97,33.36,24.88,20.2
EWH,2020-04-02,40.94,52.31,32.98,24.63,20.05
EWH,2020-04-01,42.66,51.53,32.55,24.34,19.89
EWH,2020-03-31,48.5,51.62,32.53,24.32,19.88
EWH,2020-03-30,58.45,51.44,32.52,24.21,19.84
EWH,2020-03-27,61.06,50.55,31.86,23.83,19.58
EWH,2020-03-26,64.76,49.55,31.27,23.46,19.35
EWG,2020-04-20,36.89,46.58,47.64,34.17,25.2
EWG,2020-04-17,35.85,47.01,47.34,33.96,25.06
EWG,2020-04-16,39.85,50.94,47.32,33.95,25.05
EWG,2020-04-15,37.5,51.65,46.92,33.68,24.88
EWG,2020-04-14,37.34,60.21,46.71,33.55,24.79
EWG,2020-04-13,39.89,63.28,46.61,33.48,24.75
EWG,2020-04-09,41.8,70.45,46.35,33.31,24.64
EWG,2020-04-08,45.5,72.04,46.3,33.27,24.62
EWG,2020-04-07,55.28,72.58,46.15,33.2,24.55
EWG,2020-04-06,52.34,74.06,45.32,32.62,24.17
EWG,2020-04-03,54.58,74.04,45.28,32.67,24.14
EWG,2020-04-02,55.98,74.12,45.11,32.56,24.08
EWG,2020-04-01,60.01,73.47,44.53,32.16,23.83
EWG,2020-03-31,62.68,73.93,44.52,32.12,23.81
EWG,2020-03-30,76.52,73.86,44.37,31.99,23.72
EWG,2020-03-27,80.11,73.26,43.91,31.68,23.52
EWG,2020-03-26,90.43,72.65,43.38,31.3,23.27
EWC,2020-04-20,36.33,60.99,57.05,40.59,29.01
EWC,2020-04-17,36.07,62.26,56.75,40.37,28.87
EWC,2020-04-16,39.66,66.86,56.71,40.35,28.85
EWC,2020-04-15,41.03,68.13,56.47,40.17,28.73
EWC,2020-04-14,43.47,75.01,56.39,40.12,28.7
EWC,2020-04-13,46.81,80.43,56.28,40.05,28.65
EWC,2020-04-09,48.71,87.5,56.14,39.94,28.58
EWC,2020-04-08,59.12,88.05,55.97,39.82,28.5
EWC,2020-04-07,71.43,88.39,55.73,39.66,28.4
EWC,2020-04-06,74.49,92.94,55.27,39.33,28.19
EWC,2020-04-03,78.23,92.89,55.14,39.26,28.13
EWC,2020-04-02,80.33,92.49,54.85,39.06,27.99
EWC,2020-04-01,85.84,91.81,54.41,38.75,27.78
EWC,2020-03-31,87.17,91.28,53.98,38.46,27.6
EWC,2020-03-30,96.77,90.86,53.58,38.18,27.41
EWC,2020-03-27,103.66,90.1,53.0,37.77,27.14
EWC,2020-03-26,113.75,89.77,52.56,37.48,26.94
EWA,2020-04-20,45.88,60.14,61.35,43.8,31.27
EWA,2020-04-17,47.5,61.73,61.24,43.71,31.22
EWA,2020-04-16,50.27,69.11,61.21,43.69,31.2
EWA,2020-04-15,48.72,70.95,60.84,43.43,31.03
EWA,2020-04-14,54.26,80.79,60.67,43.31,30.95
EWA,2020-04-13,59.96,86.59,60.59,43.25,30.91
EWA,2020-04-09,59.95,92.33,60.14,42.93,30.7
EWA,2020-04-08,62.62,94.22,60.09,42.89,30.67
EWA,2020-04-07,71.78,96.01,59.85,42.74,30.56
EWA,2020-04-06,69.2,98.36,58.85,42.04,30.1
EWA,2020-04-03,71.61,97.9,58.52,41.82,29.94
EWA,2020-04-02,73.25,97.55,58.17,41.59,29.79
EWA,2020-04-01,83.82,97.05,57.75,41.3,29.59
EWA,2020-03-31,87.72,97.24,57.61,41.19,29.52
EWA,2020-03-30,100.55,95.58,56.59,40.48,29.05
EWA,2020-03-27,106.78,94.07,55.53,39.75,28.56
EWA,2020-03-26,116.01,93.45,55.05,39.43,28.34
